ITHACA CORNELL UNIV, NY - January 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Average	39.1	22.5	-	30.7	-1.9	-	-	-
Normal	42.0	23.1	-	32.6	-	2.64	11.7	-
More information
ITHACA CORNELL UNIV, NY - April 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Apr 1	61	40	-	50.5	11.8	0.01	0.0	-
Apr 2	45	27	-	36.0	-3.2	Trace	Trace	-
Apr 3	60	28	-	44.0	4.4	Trace	0.0	-
Apr 4	73	46	-	59.5	19.5	0.05	0.0	-
Apr 5	50	32	-	41.0	0.6	0.00	0.0	-
Apr 6	40	29	-	34.5	-6.4	0.29	3.0	-
Apr 7	37	28	-	32.5	-8.8	0.74	0.0	-
Apr 8	64	37	-	50.5	8.8	0.22	0.0	-
Apr 9	46	35	-	40.5	-1.6	0.00	0.0	-
Apr 10	43	32	-	37.5	-5.1	0.00	0.0	-
Apr 11	58	27	-	42.5	-0.5	0.00	0.0	-
Apr 12	48	43	-	45.5	2.1	0.04	0.0	-
Apr 13	75	44	-	59.5	15.7	0.10	0.0	-
Apr 14	55	31	-	43.0	-1.2	0.35	0.0	-
Apr 15	33	29	-	31.0	-13.6	0.45	Trace	-
Apr 16	47	27	-	37.0	-8.0	0.00	0.0	-
Apr 17	56	32	-	44.0	-1.4	0.15	0.0	-
Apr 18	50	32	-	41.0	-4.8	0.00	0.0	-
Apr 19	52	25	-	38.5	-7.7	0.00	0.0	-
Apr 20	38	33	-	35.5	-11.1	0.46	0.0	-
Apr 21	61	36	-	48.5	1.5	0.54	0.0	-
Apr 22	44	36	-	40.0	-7.4	0.03	Trace	-
Apr 23	46	36	-	41.0	-6.7	0.06	0.0	-
Apr 24	55	34	-	44.5	-3.6	0.00	0.0	-
Apr 25	47	33	-	40.0	-8.5	0.10	0.0	-
Apr 26	59	25	-	42.0	-6.8	0.00	0.0	-
Apr 27	55	37	-	46.0	-3.2	0.00	0.0	-
Apr 28	65	36	-	50.5	1.0	0.00	0.0	-
Apr 29	55	39	-	47.0	-2.9	Trace	0.0	-
Apr 30	62	39	-	50.5	0.3	0.20	0.0	-
Sum	1580	1008	-	-	-	3.79	3.0	-
Average	52.7	33.6	-	43.1	-1.6	-	-	-
Normal	55.5	33.9	-	44.7	-	3.29	3.4	-
More information
ITHACA CORNELL UNIV, NY - May 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
May 1	65	46	-	55.5	4.9	0.59	-	-
May 2	66	50	-	58.0	7.1	0.00	-	-
May 3	56	45	-	50.5	-0.8	0.32	-	-
May 4	45	40	-	42.5	-9.1	1.98	-	-
May 5	52	40	-	46.0	-5.9	0.17	-	-
May 6	52	42	-	47.0	-5.3	0.03	-	-
May 7	56	40	-	48.0	-4.6	0.00	-	-
May 8	67	34	-	50.5	-2.4	0.00	-	-
May 9	73	40	-	56.5	3.3	0.00	-	-
May 10	77	49	-	63.0	9.5	0.00	-	-
May 11	84	46	-	65.0	11.1	0.00	-	-
May 12	83	57	-	70.0	15.8	0.00	-	-
May 13	73	48	-	60.5	6.0	0.00	-	-
May 14	59	50	-	54.5	-0.3	0.19	-	-
May 15	77	52	-	64.5	9.4	0.18	-	-
May 16	61	54	-	57.5	2.0	1.30	-	-
May 17	54	46	-	50.0	-5.8	0.02	-	-
May 18	48	43	-	45.5	-10.6	0.14	-	-
May 19	56	36	-	46.0	-10.4	0.00	-	-
May 20	79	36	-	57.5	0.8	Trace	-	-
May 21	78	60	-	69.0	11.9	0.00	-	-
May 22	80	44	-	62.0	4.6	0.00	-	-
May 23	87	58	-	72.5	14.8	0.54	-	-
May 24	63	45	-	54.0	-4.0	0.00	-	-
May 25	80	46	-	63.0	4.7	Trace	-	-
May 26	57	38	-	47.5	-11.1	0.32	-	-
May 27	62	46	-	54.0	-5.0	0.26	-	-
May 28	62	47	-	54.5	-4.8	Trace	-	-
May 29	71	38	-	54.5	-5.1	Trace	-	-
May 30	74	49	-	61.5	1.6	Trace	-	-
May 31	73	43	-	58.0	-2.3	Trace	-	-
Sum	2070	1408	-	-	-	6.04	-	-
Average	66.8	45.4	-	56.1	0.7	-	-	-
Normal	67.4	43.5	-	55.4	-	3.19	0.0	-
More information
ITHACA CORNELL UNIV, NY - June 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jun 1	70	56	-	63.0	2.4	0.00	-	-
Jun 2	74	62	-	68.0	7.1	0.08	-	-
Jun 3	80	64	-	72.0	10.8	0.00	-	-
Jun 4	85	67	-	76.0	14.5	Trace	-	-
Jun 5	86	63	-	74.5	12.7	0.33	-	-
Jun 6	74	63	-	68.5	6.4	0.20	-	-
Jun 7	71	51	-	61.0	-1.4	0.00	-	-
Jun 8	79	46	-	62.5	-0.2	0.00	-	-
Jun 9	84	57	-	70.5	7.5	0.00	-	-
Jun 10	85	63	-	74.0	10.7	0.00	-	-
Jun 11	83	56	-	69.5	5.9	0.00	-	-
Jun 12	74	52	-	63.0	-0.9	0.00	-	-
Jun 13	79	57	-	68.0	3.8	0.00	-	-
Jun 14	86	57	-	71.5	7.0	0.00	-	-
Jun 15	88	59	-	73.5	8.7	0.00	-	-
Jun 16	81	63	-	72.0	7.0	0.08	-	-
Jun 17	85	59	-	72.0	6.7	0.00	-	-
Jun 18	88	60	-	74.0	8.5	0.00	-	-
Jun 19	90	59	-	74.5	8.7	0.00	-	-
Jun 20	93	61	-	77.0	11.0	0.00	-	-
Jun 21	84	67	-	75.5	9.3	0.60	-	-
Jun 22	84	65	-	74.5	8.0	0.56	-	-
Jun 23	73	57	-	65.0	-1.7	0.00	-	-
Jun 24	79	50	-	64.5	-2.4	0.00	-	-
Jun 25	77	55	-	66.0	-1.1	Trace	-	-
Jun 26	76	60	-	68.0	0.8	0.35	-	-
Jun 27	66	56	-	61.0	-6.4	0.00	-	-
Jun 28	71	53	-	62.0	-5.6	0.00	-	-
Jun 29	76	50	-	63.0	-4.7	0.00	-	-
Jun 30	78	52	-	65.0	-2.9	Trace	-	-
Sum	2399	1740	-	-	-	2.20	-	-
Average	80	58	-	69	4.4	-	-	-
Normal	76.0	53.3	-	64.6	-	3.99	0.0	-
More information
ITHACA CORNELL UNIV, NY - July 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jul 1	84	54	-	69.0	1.0	0.00	-	-
Jul 2	84	54	-	69.0	0.9	0.00	-	-
Jul 3	76	63	-	69.5	1.2	0.70	-	-
Jul 4	71	55	-	63.0	-5.4	0.00	-	-
Jul 5	82	56	-	69.0	0.5	0.14	-	-
Jul 6	74	61	-	67.5	-1.1	0.00	-	-
Jul 7	83	54	-	68.5	-0.1	0.00	-	-
Jul 8	88	67	-	77.5	8.8	2.70	-	-
Jul 9	73	61	-	67.0	-1.8	0.00	-	-
Jul 10	73	51	-	62.0	-6.8	0.00	-	-
Jul 11	79	47	-	63.0	-5.9	0.00	-	-
Jul 12	79	59	-	69.0	0.1	0.13	-	-
Jul 13	81	67	-	74.0	5.0	0.12	-	-
Jul 14	81	66	-	73.5	4.5	0.00	-	-
Jul 15	85	69	-	77.0	8.0	0.38	-	-
Jul 16	84	68	-	76.0	7.0	0.00	-	-
Jul 17	83	68	-	75.5	6.5	0.01	-	-
Jul 18	81	63	-	72.0	3.0	0.00	-	-
Jul 19	76	60	-	68.0	-1.0	0.00	-	-
Jul 20	79	49	-	64.0	-5.0	0.00	-	-
Jul 21	86	53	-	69.5	0.5	0.00	-	-
Jul 22	88	65	-	76.5	7.5	0.70	-	-
Jul 23	69	56	-	62.5	-6.5	0.00	-	-
Jul 24	72	45	-	58.5	-10.5	0.00	-	-
Jul 25	92	52	-	72.0	3.0	0.00	-	-
Jul 26	88	72	-	80.0	11.1	0.02	-	-
Jul 27	74	60	-	67.0	-1.9	0.00	-	-
Jul 28	73	48	-	60.5	-8.4	0.00	-	-
Jul 29	81	63	-	72.0	3.2	0.23	-	-
Jul 30	83	56	-	69.5	0.7	0.00	-	-
Jul 31	85	66	-	75.5	6.8	0.00	-	-
Sum	2487	1828	-	-	-	5.13	-	-
Average	80.2	59	-	69.6	0.8	-	-	-
Normal	79.9	57.7	-	68.8	-	3.83	0.0	-
More information
ITHACA CORNELL UNIV, NY - August 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Aug 1	76	62	-	69.0	0.3	Trace	-	-
Aug 2	77	54	-	65.5	-3.2	0.00	-	-
Aug 3	87	51	-	69.0	0.4	0.00	-	-
Aug 4	82	64	-	73.0	4.4	0.00	-	-
Aug 5	88	61	-	74.5	6.0	0.05	-	-
Aug 6	70	58	-	64.0	-4.5	0.25	-	-
Aug 7	67	51	-	59.0	-9.4	0.08	-	-
Aug 8	78	54	-	66.0	-2.3	0.00	-	-
Aug 9	89	54	-	71.5	3.2	0.00	-	-
Aug 10	90	65	-	77.5	9.3	0.00	-	-
Aug 11	91	66	-	78.5	10.4	Trace	-	-
Aug 12	76	63	-	69.5	1.4	Trace	-	-
Aug 13	65	49	-	57.0	-11.0	0.00	-	-
Aug 14	72	43	-	57.5	-10.4	0.00	-	-
Aug 15	79	48	-	63.5	-4.3	0.00	-	-
Aug 16	84	51	-	67.5	-0.2	Trace	-	-
Aug 17	76	62	-	69.0	1.4	0.51	-	-
Aug 18	74	60	-	67.0	-0.5	0.05	-	-
Aug 19	74	54	-	64.0	-3.4	Trace	-	-
Aug 20	75	61	-	68.0	0.8	0.00	-	-
Aug 21	73	59	-	66.0	-1.1	0.00	-	-
Aug 22	75	50	-	62.5	-4.5	0.00	-	-
Aug 23	82	56	-	69.0	2.2	0.00	-	-
Aug 24	66	63	-	64.5	-2.2	1.30	-	-
Aug 25	87	67	-	77.0	10.5	0.10	-	-
Aug 26	79	63	-	71.0	4.7	0.00	-	-
Aug 27	84	64	-	74.0	7.9	0.27	-	-
Aug 28	81	68	-	74.5	8.6	0.00	-	-
Aug 29	73	57	-	65.0	-0.7	1.25	-	-
Aug 30	68	51	-	59.5	-6.0	Trace	-	-
Aug 31	71	48	-	59.5	-5.8	0.00	-	-
Sum	2409	1777	-	-	-	3.86	-	-
Average	77.7	57.3	-	67.5	0.1	-	-	-
Normal	78.6	56.3	-	67.4	-	3.63	0.0	-
More information
