ITHACA CORNELL UNIV, NY - January 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Normal	42.0	23.1	-	32.6	-	2.64	11.7	-
More information
ITHACA CORNELL UNIV, NY - April 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Apr 1	48	27	-	37.5	-1.2	0.03	0.0	-
Apr 2	43	25	-	34.0	-5.2	0.02	Trace	Trace
Apr 3	30	23	-	26.5	-13.1	0.04	0.3	Trace
Apr 4	32	19	-	25.5	-14.5	Trace	0.1	-
Apr 5	50	18	-	34.0	-6.4	0.15	0.0	-
Apr 6	62	40	-	51.0	10.1	0.01	0.0	-
Apr 7	54	38	-	46.0	4.7	0.00	0.0	-
Apr 8	58	35	-	46.5	4.8	0.28	0.0	-
Apr 9	44	29	-	36.5	-5.6	Trace	Trace	-
Apr 10	57	32	-	44.5	1.9	0.00	0.0	-
Apr 11	51	33	-	42.0	-1.0	0.03	Trace	-
Apr 12	45	30	-	37.5	-5.9	Trace	Trace	Trace
Apr 13	47	28	-	37.5	-6.3	0.06	0.0	-
Apr 14	61	23	-	42.0	-2.2	0.00	0.0	-
Apr 15	55	30	-	42.5	-2.1	0.53	0.0	-
Apr 16	35	23	-	29.0	-16.0	0.00	0.0	-
Apr 17	57	19	-	38.0	-7.4	0.00	0.0	-
Apr 18	55	42	-	48.5	2.7	0.55	0.0	-
Apr 19	47	37	-	42.0	-4.2	0.21	0.0	-
Apr 20	43	32	-	37.5	-9.1	0.62	4.0	Trace
Apr 21	47	29	-	38.0	-9.0	Trace	Trace	-
Apr 22	76	38	-	57.0	9.6	0.00	0.0	-
Apr 23	81	50	-	65.5	17.8	0.00	0.0	-
Apr 24	82	42	-	62.0	13.9	0.00	0.0	-
Apr 25	70	54	-	62.0	13.5	Trace	0.0	-
Apr 26	78	54	-	66.0	17.2	Trace	0.0	-
Apr 27	76	45	-	60.5	11.3	0.50	0.0	-
Apr 28	61	41	-	51.0	1.5	Trace	0.0	-
Apr 29	53	40	-	46.5	-3.4	0.02	0.0	-
Apr 30	49	33	-	41.0	-9.2	0.80	0.1	-
Sum	1647	1009	-	-	-	3.85	4.5	-
Average	54.9	33.6	-	44.3	-0.4	-	-	0
Normal	55.5	33.9	-	44.7	-	3.29	3.4	-
More information
ITHACA CORNELL UNIV, NY - May 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
May 1	43	32	-	37.5	-13.1	0.15	1.0	0
May 2	55	32	-	43.5	-7.4	0.14	Trace	0
May 3	52	33	-	42.5	-8.8	0.03	0.0	-
May 4	56	30	-	43.0	-8.6	0.00	0.0	-
May 5	63	30	-	46.5	-5.4	0.00	0.0	-
May 6	53	43	-	48.0	-4.3	0.08	0.0	-
May 7	51	42	-	46.5	-6.1	0.40	0.0	-
May 8	58	46	-	52.0	-0.9	0.33	0.0	-
May 9	54	37	-	45.5	-7.7	0.36	0.0	-
May 10	51	36	-	43.5	-10.0	0.03	0.0	-
May 11	78	44	-	61.0	7.1	0.01	0.0	-
May 12	79	61	-	70.0	15.8	0.00	0.0	-
May 13	65	52	-	58.5	4.0	0.12	0.0	-
May 14	55	48	-	51.5	-3.3	0.30	0.0	-
May 15	51	47	-	49.0	-6.1	0.12	0.0	-
May 16	76	48	-	62.0	6.5	0.15	0.0	-
May 17	72	52	-	62.0	6.2	0.00	0.0	-
May 18	79	45	-	62.0	5.9	0.00	0.0	-
May 19	74	58	-	66.0	9.6	Trace	0.0	-
May 20	74	58	-	66.0	9.3	0.04	0.0	-
May 21	73	63	-	68.0	10.9	0.09	0.0	-
May 22	74	64	-	69.0	11.6	0.01	0.0	-
May 23	85	59	-	72.0	14.3	0.00	0.0	-
May 24	75	53	-	64.0	6.0	0.00	0.0	-
May 25	86	49	-	67.5	9.2	0.00	0.0	-
May 26	89	64	-	76.5	17.9	0.31	0.0	-
May 27	82	61	-	71.5	12.5	0.01	0.0	-
May 28	89	56	-	72.5	13.2	Trace	0.0	-
May 29	84	62	-	73.0	13.4	1.05	0.0	-
May 30	76	59	-	67.5	7.6	0.16	0.0	-
May 31	73	58	-	65.5	5.2	0.41	0.0	-
Sum	2125	1522	-	-	-	4.30	1.0	-
Average	68.5	49.1	-	58.8	3.4	-	-	0
Normal	67.4	43.5	-	55.4	-	3.19	0.0	-
More information
ITHACA CORNELL UNIV, NY - June 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jun 1	63	50	-	56.5	-4.1	0.01	-	-
Jun 2	63	44	-	53.5	-7.4	0.00	-	-
Jun 3	77	40	-	58.5	-2.7	0.00	-	-
Jun 4	81	54	-	67.5	6.0	0.00	-	-
Jun 5	80	47	-	63.5	1.7	0.00	-	-
Jun 6	80	54	-	67.0	4.9	0.00	-	-
Jun 7	85	-	-	-	-	0.00	-	-
Jun 8	88	62	-	75.0	12.3	0.00	-	-
Jun 9	88	63	-	75.5	12.5	0.13	-	-
Jun 10	73	52	-	62.5	-0.8	0.01	-	-
Jun 11	73	46	-	59.5	-4.1	0.00	-	-
Jun 12	75	47	-	61.0	-2.9	0.00	-	-
Jun 13	85	50	-	67.5	3.3	0.00	-	-
Jun 14	86	64	-	75.0	10.5	Trace	-	-
Jun 15	73	52	-	62.5	-2.3	0.46	-	-
Jun 16	64	46	-	55.0	-10.0	0.00	-	-
Jun 17	74	44	-	59.0	-6.3	0.00	-	-
Jun 18	79	52	-	65.5	0.0	0.00	-	-
Jun 19	91	63	-	77.0	11.2	0.04	-	-
Jun 20	84	65	-	74.5	8.5	0.00	-	-
Jun 21	89	64	-	76.5	10.3	0.00	-	-
Jun 22	91	61	-	76.0	9.5	0.00	-	-
Jun 23	92	64	-	78.0	11.3	0.24	-	-
Jun 24	90	63	-	76.5	9.6	0.14	-	-
Jun 25	77	55	-	66.0	-1.1	0.11	-	-
Jun 26	79	50	-	64.5	-2.7	0.00	-	-
Jun 27	84	50	-	67.0	-0.4	0.00	-	-
Jun 28	88	54	-	71.0	3.4	0.00	-	-
Jun 29	86	67	-	76.5	8.8	0.07	-	-
Jun 30	77	57	-	67.0	-0.9	0.05	-	-
Sum	2415	1580	-	-	-	1.26	-	-
Average	80.5	54.5	-	67.4	2.8	-	-	-
Normal	76.0	53.3	-	64.6	-	3.99	0.0	-
More information
ITHACA CORNELL UNIV, NY - July 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jul 1	85	55	-	70.0	2.0	0.00	-	-
Jul 2	84	60	-	72.0	3.9	0.02	-	-
Jul 3	88	63	-	75.5	7.2	0.00	-	-
Jul 4	85	70	-	77.5	9.1	Trace	-	-
Jul 5	88	66	-	77.0	8.5	0.00	-	-
Jul 6	95	60	-	77.5	8.9	0.00	-	-
Jul 7	90	69	-	79.5	10.9	0.60	-	-
Jul 8	72	54	-	63.0	-5.7	0.00	-	-
Jul 9	81	47	-	64.0	-4.8	0.00	-	-
Jul 10	86	54	-	70.0	1.2	0.00	-	-
Jul 11	92	63	-	77.5	8.6	0.00	-	-
Jul 12	94	67	-	80.5	11.6	1.24	-	-
Jul 13	86	61	-	73.5	4.5	0.00	-	-
Jul 14	73	61	-	67.0	-2.0	0.16	-	-
Jul 15	72	57	-	64.5	-4.5	0.00	-	-
Jul 16	74	53	-	63.5	-5.5	0.00	-	-
Jul 17	76	52	-	64.0	-5.0	0.09	-	-
Jul 18	81	68	-	74.5	5.5	0.10	-	-
Jul 19	76	62	-	69.0	0.0	0.04	-	-
Jul 20	82	60	-	71.0	2.0	0.00	-	-
Jul 21	81	66	-	73.5	4.5	1.18	-	-
Jul 22	85	65	-	75.0	6.0	Trace	-	-
Jul 23	85	61	-	73.0	4.0	0.00	-	-
Jul 24	88	63	-	75.5	6.5	1.23	-	-
Jul 25	80	63	-	71.5	2.5	0.09	-	-
Jul 26	86	57	-	71.5	2.6	0.00	-	-
Jul 27	88	55	-	71.5	2.6	0.00	-	-
Jul 28	91	58	-	74.5	5.6	0.00	-	-
Jul 29	92	61	-	76.5	7.7	0.00	-	-
Jul 30	94	62	-	78.0	9.2	0.00	-	-
Jul 31	95	65	-	80.0	11.3	0.00	-	-
Sum	2625	1878	-	-	-	4.75	-	-
Average	84.7	60.6	-	72.6	3.8	-	-	-
Normal	79.9	57.7	-	68.8	-	3.83	0.0	-
More information
ITHACA CORNELL UNIV, NY - August 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Aug 1	77	56	-	66.5	-2.2	0.00	-	-
Aug 2	79	53	-	66.0	-2.7	0.00	-	-
Aug 3	84	50	-	67.0	-1.6	0.00	-	-
Aug 4	96	66	-	81.0	12.4	0.60	-	-
Aug 5	79	67	-	73.0	4.5	0.07	-	-
Aug 6	84	64	-	74.0	5.5	0.02	-	-
Aug 7	76	59	-	67.5	-0.9	0.55	-	-
Aug 8	78	59	-	68.5	0.2	0.00	-	-
Aug 9	80	55	-	67.5	-0.8	0.00	-	-
Aug 10	80	53	-	66.5	-1.7	0.00	-	-
Aug 11	84	60	-	72.0	3.9	Trace	-	-
Aug 12	84	59	-	71.5	3.4	Trace	-	-
Aug 13	87	68	-	77.5	9.5	0.89	-	-
Aug 14	87	65	-	76.0	8.1	0.00	-	-
Aug 15	78	55	-	66.5	-1.3	0.00	-	-
Aug 16	83	50	-	66.5	-1.2	Trace	-	-
Aug 17	81	68	-	74.5	6.9	0.66	-	-
Aug 18	74	55	-	64.5	-3.0	0.02	-	-
Aug 19	73	54	-	63.5	-3.9	0.01	-	-
Aug 20	69	51	-	60.0	-7.2	0.00	-	-
Aug 21	78	46	-	62.0	-5.1	0.00	-	-
Aug 22	82	62	-	72.0	5.0	0.66	-	-
Aug 23	70	49	-	59.5	-7.3	0.00	-	-
Aug 24	72	44	-	58.0	-8.7	0.00	-	-
Aug 25	75	43	-	59.0	-7.5	0.00	-	-
Aug 26	72	51	-	61.5	-4.8	0.00	-	-
Aug 27	74	46	-	60.0	-6.1	0.00	-	-
Aug 28	75	48	-	61.5	-4.4	0.00	-	-
Aug 29	79	49	-	64.0	-1.7	0.00	-	-
Aug 30	85	51	-	68.0	2.5	0.00	-	-
Aug 31	89	52	-	70.5	5.2	0.00	-	-
Sum	2464	1708	-	-	-	3.48	-	-
Average	79.5	55.1	-	67.3	-0.1	-	-	-
Normal	78.6	56.3	-	67.4	-	3.63	0.0	-
More information
ITHACA CORNELL UNIV, NY - September 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Sep 1	85	66	-	75.5	10.5	0.00	-	-
Sep 2	75	52	-	63.5	-1.3	0.07	-	-
Sep 3	68	48	-	58.0	-6.5	0.01	-	-
Sep 4	79	39	-	59.0	-5.2	0.00	-	-
Sep 5	81	56	-	68.5	4.6	0.00	-	-
Sep 6	82	57	-	69.5	5.9	0.36	-	-
Sep 7	70	48	-	59.0	-4.3	0.00	-	-
Sep 8	74	44	-	59.0	-4.0	0.00	-	-
Sep 9	85	49	-	67.0	4.3	0.00	-	-
Sep 10	91	60	-	75.5	13.2	0.00	-	-
Sep 11	83	62	-	72.5	10.5	0.00	-	-
Sep 12	79	57	-	68.0	6.4	0.00	-	-
Sep 13	80	54	-	67.0	5.8	0.00	-	-
Sep 14	73	47	-	60.0	-0.9	0.00	-	-
Sep 15	74	45	-	59.5	-1.0	0.00	-	-
Sep 16	73	40	-	56.5	-3.6	0.00	-	-
Sep 17	73	48	-	60.5	0.8	0.00	-	-
Sep 18	83	45	-	64.0	4.7	Trace	-	-
Sep 19	67	51	-	59.0	0.1	Trace	-	-
Sep 20	77	49	-	63.0	4.5	0.00	-	-
Sep 21	87	56	-	71.5	13.4	0.00	-	-
Sep 22	87	59	-	73.0	15.4	0.00	-	-
Sep 23	88	58	-	73.0	15.8	0.00	-	-
Sep 24	86	61	-	73.5	16.7	0.00	-	-
Sep 25	90	56	-	73.0	16.6	0.00	-	-
Sep 26	90	60	-	75.0	19.1	0.00	-	-
Sep 27	73	63	-	68.0	12.5	0.00	-	-
Sep 28	76	53	-	64.5	9.4	1.17	-	-
Sep 29	59	42	-	50.5	-4.2	0.00	-	-
Sep 30	64	35	-	49.5	-4.8	0.00	-	-
Sum	2352	1560	-	-	-	1.61	-	-
Average	78.4	52	-	65.2	5.2	-	-	-
Normal	71.1	49.0	-	60	-	3.69	0.0	-
More information
ITHACA CORNELL UNIV, NY - October 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Oct 1	61	48	-	54.5	0.6	0.09	-	-
Oct 2	51	40	-	45.5	-8.0	0.01	-	-
Oct 3	60	35	-	47.5	-5.6	0.00	-	-
Oct 4	67	36	-	51.5	-1.2	0.00	-	-
Oct 5	64	42	-	53.0	0.7	0.00	-	-
Oct 6	73	38	-	55.5	3.6	0.00	-	-
Oct 7	70	49	-	59.5	8.0	0.00	-	-
Oct 8	65	50	-	57.5	6.4	0.00	-	-
Oct 9	54	37	-	45.5	-5.3	Trace	-	-
Oct 10	66	28	-	47.0	-3.4	0.32	-	-
Oct 11	60	39	-	49.5	-0.6	0.16	-	-
Oct 12	48	29	-	38.5	-11.2	0.03	-	-
Oct 13	62	27	-	44.5	-4.9	0.00	-	-
Oct 14	75	34	-	54.5	5.5	0.00	-	-
Oct 15	80	55	-	67.5	18.8	0.00	-	-
Oct 16	83	49	-	66.0	17.6	0.00	-	-
Oct 17	76	50	-	63.0	14.9	0.00	-	-
Oct 18	84	49	-	66.5	18.7	0.00	-	-
Oct 19	57	41	-	49.0	1.5	0.00	-	-
Oct 20	59	32	-	45.5	-1.7	0.00	-	-
Oct 21	57	31	-	44.0	-2.9	0.00	-	-
Oct 22	63	39	-	51.0	4.4	0.00	-	-
Oct 23	67	44	-	55.5	9.1	0.00	-	-
Oct 24	67	57	-	62.0	15.9	0.06	-	-
Oct 25	68	61	-	64.5	18.7	0.04	-	-
Oct 26	65	54	-	59.5	13.9	0.57	-	-
Oct 27	71	45	-	58.0	12.7	0.07	-	-
Oct 28	54	44	-	49.0	4.0	0.31	-	-
Oct 29	54	47	-	50.5	5.7	0.01	-	-
Oct 30	47	34	-	40.5	-4.0	Trace	Trace	0
Oct 31	38	33	-	35.5	-8.8	Trace	Trace	0
Sum	1966	1297	-	-	-	1.67	Trace	-
Average	63.4	41.8	-	52.6	3.9	-	-	0
Normal	59.0	38.3	-	48.7	-	3.42	0.4	-
More information
ITHACA CORNELL UNIV, NY - November 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Nov 1	40	30	-	35.0	-9.0	Trace	Trace	0
Nov 2	46	30	-	38.0	-5.7	0.00	0.0	-
Nov 3	59	35	-	47.0	3.5	0.00	0.0	-
Nov 4	56	23	-	39.5	-3.7	0.07	0.1	Trace
Nov 5	38	24	-	31.0	-11.9	Trace	Trace	Trace
Nov 6	43	30	-	36.5	-6.2	Trace	Trace	-
Nov 7	43	38	-	40.5	-1.9	0.01	0.0	-
Nov 8	52	38	-	45.0	2.9	0.01	0.0	-
Nov 9	59	36	-	47.5	5.7	0.00	0.0	-
Nov 10	42	30	-	36.0	-5.5	0.18	0.0	-
Nov 11	51	36	-	43.5	2.3	0.27	0.0	-
Nov 12	37	27	-	32.0	-8.9	Trace	Trace	-
Nov 13	38	28	-	33.0	-7.6	0.00	0.0	-
Nov 14	40	24	-	32.0	-8.3	0.29	1.3	1
Nov 15	33	22	-	27.5	-12.5	-	1.6	1
Nov 16	38	22	-	30.0	-9.7	0.00	0.0	Trace
Nov 17	36	27	-	31.5	-7.8	Trace	Trace	Trace
Nov 18	40	30	-	35.0	-4.0	0.01	Trace	-
Nov 19	50	35	-	42.5	3.9	0.02	0.0	-
Nov 20	46	26	-	36.0	-2.3	0.00	0.0	-
Nov 21	52	23	-	37.5	-0.4	0.00	0.0	-
Nov 22	52	36	-	44.0	6.4	0.00	0.0	-
Nov 23	56	41	-	48.5	11.3	0.00	0.0	-
Nov 24	58	49	-	53.5	16.7	Trace	0.0	-
Nov 25	64	53	-	58.5	22.1	0.00	0.0	-
Nov 26	64	48	-	56.0	20.0	0.00	0.0	-
Nov 27	48	36	-	42.0	6.3	Trace	0.0	-
Nov 28	45	35	-	40.0	4.7	0.00	0.0	-
Nov 29	50	34	-	42.0	7.1	Trace	0.0	-
Nov 30	58	39	-	48.5	14.0	0.03	0.0	-
Sum	1434	985	-	-	-	0.89	3.0	-
Average	47.8	32.8	-	40.3	0.7	-	-	0.3
Normal	47.5	31.7	-	39.6	-	3.16	4.5	-
More information
ITHACA CORNELL UNIV, NY - December 1908
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Dec 1	58	24	-	41.0	6.9	0.01	Trace	0
Dec 2	24	17	-	20.5	-13.2	Trace	Trace	0
Dec 3	29	20	-	24.5	-8.8	0.00	0.0	0
Dec 4	34	24	-	29.0	-3.9	0.03	0.3	Trace
Dec 5	33	9	-	21.0	-11.5	0.01	0.1	Trace
Dec 6	30	8	-	19.0	-13.1	0.10	1.0	Trace
Dec 7	40	28	-	34.0	2.3	0.03	Trace	Trace
Dec 8	30	23	-	26.5	-4.8	Trace	Trace	Trace
Dec 9	29	20	-	24.5	-6.4	0.01	0.1	Trace
Dec 10	24	13	-	18.5	-12.0	Trace	Trace	Trace
Dec 11	36	18	-	27.0	-3.1	0.07	0.7	Trace
Dec 12	36	20	-	28.0	-1.7	0.07	0.1	Trace
Dec 13	34	20	-	27.0	-2.4	Trace	Trace	Trace
Dec 14	41	29	-	35.0	6.0	0.09	0.0	Trace
Dec 15	50	37	-	43.5	14.8	0.03	0.0	0
Dec 16	38	31	-	34.5	6.2	0.00	0.0	0
Dec 17	31	24	-	27.5	-0.5	0.47	4.7	0
Dec 18	40	24	-	32.0	4.3	0.18	1.8	7
Dec 19	36	26	-	31.0	3.7	Trace	Trace	4
Dec 20	32	26	-	29.0	2.0	0.04	0.4	4
Dec 21	37	28	-	32.5	5.8	Trace	Trace	3
Dec 22	28	14	-	21.0	-5.4	0.00	0.0	3
Dec 23	28	9	-	18.5	-7.7	Trace	Trace	3
Dec 24	34	20	-	27.0	1.1	0.02	0.2	3
Dec 25	43	30	-	36.5	10.8	0.14	1.4	4
Dec 26	35	27	-	31.0	5.6	Trace	Trace	2
Dec 27	45	25	-	35.0	9.8	0.00	0.0	2
Dec 28	36	28	-	32.0	7.0	0.00	0.0	2
Dec 29	43	24	-	33.5	8.7	0.00	0.0	2
Dec 30	41	27	-	34.0	9.4	0.04	0.1	1
Dec 31	43	23	-	33.0	8.6	0.01	0.1	1
Sum	1118	696	-	-	-	1.35	11.0	-
Average	36.1	22.5	-	29.3	0.6	-	-	1.3
Normal	35.8	21.5	-	28.7	-	2.40	12.6	-
More information
ITHACA CORNELL UNIV, NY - January 1909
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jan 1	25	20	-	22.5	-1.7	Trace	Trace	1
Jan 2	36	19	-	27.5	3.4	0.00	0.0	1
Jan 3	43	32	-	37.5	13.6	0.04	0.0	Trace
Jan 4	47	42	-	44.5	20.7	0.02	0.0	0
Jan 5	50	40	-	45.0	21.3	0.18	0.0	0
Jan 6	40	13	-	26.5	2.9	0.03	0.1	Trace
Jan 7	13	7	-	10.0	-13.5	0.01	0.1	Trace
Jan 8	24	4	-	14.0	-9.4	0.00	0.0	Trace
Jan 9	33	20	-	26.5	3.2	0.00	0.0	Trace
Jan 10	42	32	-	37.0	13.7	Trace	0.0	0
Jan 11	47	22	-	34.5	11.3	0.02	Trace	Trace
Jan 12	22	14	-	18.0	-5.2	0.60	4.8	5
Jan 13	21	0	-	10.5	-12.6	0.26	2.6	6
Jan 14	39	18	-	28.5	5.4	Trace	Trace	6
Jan 15	40	8	-	24.0	0.9	Trace	0.0	2
Jan 16	20	5	-	12.5	-10.5	0.40	4.0	3
Jan 17	27	15	-	21.0	-2.0	0.33	3.3	9
Jan 18	28	-7	-	10.5	-12.5	Trace	Trace	8
Jan 19	25	-8	-	8.5	-14.5	0.00	0.0	7
Jan 20	40	18	-	29.0	5.9	0.00	0.0	4
Jan 21	47	30	-	38.5	15.4	0.00	0.0	2
Jan 22	51	43	-	47.0	23.9	Trace	0.0	1
Jan 23	51	47	-	49.0	25.9	0.08	0.0	0
Jan 24	62	51	-	56.5	33.3	0.00	0.0	0
Jan 25	51	34	-	42.5	19.3	0.00	0.0	0
Jan 26	36	29	-	32.5	9.2	0.01	0.1	0
Jan 27	40	25	-	32.5	9.2	0.02	0.2	Trace
Jan 28	27	20	-	23.5	0.1	0.03	0.3	Trace
Jan 29	29	18	-	23.5	0.1	0.22	2.6	2
Jan 30	29	18	-	23.5	0.0	0.26	2.2	5
Jan 31	20	4	-	12.0	-11.6	0.13	1.5	5
Sum	1105	633	-	-	-	2.64	21.8	-
Average	35.6	20.4	-	28	4.7	-	-	2.2
Normal	31.3	15.4	-	23.3	-	2.08	17.6	-
More information
ITHACA CORNELL UNIV, NY - February 1909
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Feb 1	16	1	-	8.5	-15.1	0.07	0.7	-
Feb 2	29	13	-	21.0	-2.7	0.02	0.2	-
Feb 3	25	14	-	19.5	-4.3	Trace	Trace	-
Feb 4	48	14	-	31.0	7.1	0.00	0.0	-
Feb 5	53	46	-	49.5	25.5	Trace	0.0	-
Feb 6	51	29	-	40.0	15.9	0.01	Trace	-
Feb 7	39	25	-	32.0	7.8	0.00	0.0	-
Feb 8	34	24	-	29.0	4.7	0.02	0.2	-
Feb 9	28	12	-	20.0	-4.4	0.03	0.3	-
Feb 10	46	25	-	35.5	11.0	0.15	Trace	-
Feb 11	25	20	-	22.5	-2.1	Trace	Trace	-
Feb 12	42	18	-	30.0	5.3	0.00	0.0	-
Feb 13	47	26	-	36.5	11.6	Trace	Trace	-
Feb 14	40	25	-	32.5	7.5	0.10	0.0	-
Feb 15	47	20	-	33.5	8.4	0.64	Trace	-
Feb 16	26	19	-	22.5	-2.8	0.60	Trace	-
Feb 17	33	19	-	26.0	0.6	Trace	Trace	-
Feb 18	39	28	-	33.5	7.9	Trace	Trace	-
Feb 19	47	34	-	40.5	14.8	0.38	0.0	-
Feb 20	46	31	-	38.5	12.6	0.34	Trace	-
Feb 21	36	30	-	33.0	6.9	Trace	0.0	-
Feb 22	51	31	-	41.0	14.7	0.00	0.0	-
Feb 23	40	28	-	34.0	7.5	0.10	0.0	-
Feb 24	51	32	-	41.5	14.8	0.23	Trace	-
Feb 25	32	17	-	24.5	-2.4	0.01	0.1	-
Feb 26	39	16	-	27.5	0.4	Trace	Trace	-
Feb 27	45	28	-	36.5	9.2	0.06	0.4	-
Feb 28	29	14	-	21.5	-6.0	0.04	0.9	-
Sum	1084	639	-	-	-	2.80	2.8	-
Average	38.7	22.8	-	30.8	5.5	-	-	-
Normal	34.0	16.5	-	25.3	-	1.98	14.2	-
More information
ITHACA CORNELL UNIV, NY - March 1909
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Mar 1	36	10	-	23.0	-4.8	0.01	0.1	-
Mar 2	41	27	-	34.0	6.0	0.00	0.0	-
Mar 3	42	24	-	33.0	4.8	0.01	0.0	-
Mar 4	34	19	-	26.5	-2.0	0.26	4.0	-
Mar 5	24	13	-	18.5	-10.3	0.00	0.0	-
Mar 6	43	10	-	26.5	-2.6	0.00	0.0	-
Mar 7	40	31	-	35.5	6.2	0.03	0.3	-
Mar 8	36	24	-	30.0	0.4	0.00	0.0	-
Mar 9	42	21	-	31.5	1.6	0.30	0.0	-
Mar 10	59	31	-	45.0	14.8	0.01	0.1	-
Mar 11	33	21	-	27.0	-3.6	0.01	0.1	-
Mar 12	42	25	-	33.5	2.6	0.00	0.0	-
Mar 13	41	30	-	35.5	4.3	0.02	0.1	-
Mar 14	35	28	-	31.5	-0.1	0.03	Trace	-
Mar 15	35	26	-	30.5	-1.4	Trace	Trace	-
Mar 16	37	24	-	30.5	-1.8	0.04	0.4	-
Mar 17	30	19	-	24.5	-8.1	Trace	Trace	-
Mar 18	36	17	-	26.5	-6.5	0.00	0.0	-
Mar 19	38	21	-	29.5	-3.9	0.01	Trace	-
Mar 20	39	26	-	32.5	-1.3	Trace	Trace	-
Mar 21	34	20	-	27.0	-7.2	Trace	Trace	-
Mar 22	31	23	-	27.0	-7.6	0.01	0.1	-
Mar 23	42	24	-	33.0	-2.0	0.00	0.0	-
Mar 24	50	23	-	36.5	1.1	0.15	0.0	-
Mar 25	44	29	-	36.5	0.7	0.73	3.2	-
Mar 26	35	25	-	30.0	-6.2	Trace	Trace	-
Mar 27	45	25	-	35.0	-1.6	0.04	Trace	-
Mar 28	45	29	-	37.0	0.0	Trace	0.0	-
Mar 29	41	29	-	35.0	-2.4	Trace	Trace	-
Mar 30	40	30	-	35.0	-2.9	0.12	0.6	-
Mar 31	48	33	-	40.5	2.2	0.00	0.0	-
Sum	1218	737	-	-	-	1.78	9.0	-
Average	39.3	23.8	-	31.5	-1.1	-	-	-
Normal	42.0	23.1	-	32.6	-	2.64	11.7	-
More information
ITHACA CORNELL UNIV, NY - April 1909
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Apr 1	52	29	-	40.5	1.8	0.00	0.0	-
Apr 2	51	28	-	39.5	0.3	0.19	0.0	-
Apr 3	45	31	-	38.0	-1.6	Trace	0.0	-
Apr 4	49	33	-	41.0	1.0	0.03	Trace	-
Apr 5	65	34	-	49.5	9.1	0.00	0.0	-
Apr 6	74	52	-	63.0	22.1	0.03	0.0	-
Apr 7	74	42	-	58.0	16.7	Trace	0.0	-
Apr 8	49	35	-	42.0	0.3	0.00	0.0	-
Apr 9	38	25	-	31.5	-10.6	0.21	2.3	Trace
Apr 10	30	20	-	25.0	-17.6	0.01	0.1	Trace
Apr 11	44	16	-	30.0	-13.0	0.00	0.0	-
Apr 12	59	34	-	46.5	3.1	0.00	0.0	-
Apr 13	69	41	-	55.0	11.2	0.56	0.0	-
Apr 14	41	33	-	37.0	-7.2	0.91	Trace	-
Apr 15	48	33	-	40.5	-4.1	0.02	0.0	-
Apr 16	61	29	-	45.0	0.0	Trace	0.0	-
Apr 17	63	48	-	55.5	10.1	Trace	0.0	-
Apr 18	71	38	-	54.5	8.7	Trace	0.0	-
Apr 19	77	37	-	57.0	10.8	0.03	0.0	-
Apr 20	50	36	-	43.0	-3.6	0.03	0.0	-
Apr 21	47	40	-	43.5	-3.5	0.06	0.0	-
Apr 22	58	46	-	52.0	4.6	0.00	0.0	-
Apr 23	50	35	-	42.5	-5.2	0.00	0.0	-
Apr 24	45	29	-	37.0	-11.1	Trace	Trace	-
Apr 25	61	28	-	44.5	-4.0	Trace	0.0	-
Apr 26	42	29	-	35.5	-13.3	Trace	Trace	-
Apr 27	55	29	-	42.0	-7.2	0.12	0.0	-
Apr 28	40	28	-	34.0	-15.5	0.00	0.0	-
Apr 29	35	28	-	31.5	-18.4	0.32	1.5	1
